incident_id,article_id,article_url,lastmod,deaths_reported,injuries_reported,preliminary_or_final,notes
INC-0008,417531,https://www.nna-leb.gov.lb/ar/news/417531/%D8%A7%D8%B3%D8%AA%D8%B4%D9%87%D8%A7%D8%AF-%D9%85%D8%AE%D8%AA%D8%A7%D8%B1-%D8%A7%D9%84%D9%83%D9%81%D9%88%D8%B1-%D9%88%D8%B2%D9%88%D8%AC%D8%AA%D9%87-%D9%81%D9%8A-%D8%A7%D9%84%D8%BA%D8%A7%D8%B1%D8%A9-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D8%A8%D9%84%D8%AF%D8%A9-%D9%81%D8%AC%D8%B1%D8%A7-2,2026-03-05T06:41:29.000+02:00,2,0,preliminary,named: mukhtar Tawfiq Safa + wife
INC-0009,417516,https://www.nna-leb.gov.lb/ar/news/417516/%D8%B9%D8%AF%D9%88%D8%A7%D9%86-%D8%AC%D9%88%D9%8A-%D9%88%D8%A7%D8%B3%D8%B9-%D8%B9%D9%84%D9%89-%D9%82%D8%B1%D9%89-%D9%81%D9%8A-%D9%82%D8%B6%D8%A7%D8%A1-%D8%A7%D9%84%D9%86%D8%A8%D8%B7%D9%8A%D8%A9-%D9%81%D8%AC%D8%B1%D8%A7-2,2026-03-05T05:27:49.000+02:00,3,0,preliminary,possible overlap with 417534's Zawtar al-Sharqiya family (4 dead) - flag for merge review
INC-0010,417534,https://www.nna-leb.gov.lb/ar/news/417534/%D8%A7%D8%B3%D8%AA%D8%B4%D9%87%D8%A7%D8%AF-%D8%B9%D8%A7%D8%A6%D9%84%D8%A9-%D9%81%D9%8A-%D8%B2%D9%88%D8%B7%D8%B1-%D8%A7%D9%84%D8%B4%D8%B1%D9%82%D9%8A%D8%A9-2,2026-03-05T06:54:00.000+02:00,4,0,preliminary,family of 4 named; flag for merge review vs 417516's ambiguous 3-dead figure for same general area
INC-0011,417686,https://www.nna-leb.gov.lb/ar/news/417686/%D8%A7%D9%84%D8%BA%D8%A7%D8%B1%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D8%B9%D8%A7%D8%AF%D9%8A%D8%A9-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D9%86%D8%A8%D8%B7%D9%8A%D8%A9-%D9%88%D8%A7%D9%84%D8%AC%D9%88%D8%A7%D8%B1-%D8%A7%D9%88%D9%82%D8%B9%D8%AA-%D8%B4%D9%87%D8%AF%D8%A7%D8%A1-%D9%88%D8%AC%D8%B1%D8%AD%D9%89-%D9%88%D8%A7%D8%AF%D8%AA-%D8%A7%D9%84%D9%89-%D8%A7%D8%B6%D8%B1%D8%A7%D8%B1-%D8%AC%D8%B3%D9%8A%D9%85%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D9%85%D8%A8%D8%A7%D9%86%D9%8A-%D8%A7%D9%84%D8%B3%D9%83%D9%86%D9%8A%D8%A9-%D9%88%D8%A7%D9%84%D9%85%D8%AD%D9%84%D8%A7%D8%AA-2,2026-03-05T16:00:58.000+02:00,2,0,preliminary,roundup article; ONLY source for Kfarremen 2-dead fact; article also re-mentions Zawtar-family and Kfour-mukhtar deaths already captured in 417531/417534 - do not double count those
INC-0012,417702,https://www.nna-leb.gov.lb/ar/news/417702/%D8%B4%D9%87%D8%AF%D8%A7%D8%A1-%D9%88%D8%AC%D8%B1%D8%AD%D9%89-%D9%81%D9%8A-%D8%BA%D8%A7%D8%B1%D8%A9-%D8%B9%D9%84%D9%89-%D9%85%D9%86%D8%B2%D9%84%D9%8A%D9%86-%D9%81%D9%8A-%D9%84%D8%A8%D8%A7%D9%8A%D8%A7-%D9%88%D8%B7%D8%B1%D9%81%D9%87%D8%A7-%D8%A7%D9%84%D8%B4%D9%85%D8%A7%D9%84%D9%8A-2,2026-03-05T16:47:18.000+02:00,3,4,preliminary,"chain continues in 417743 which gives a lower MoPH count (2 dead/3 inj) - flag for merge review, later report may supersede"
INC-0012,417743,https://www.nna-leb.gov.lb/ar/news/417743/%D8%B4%D9%87%D9%8A%D8%AF%D8%A7%D9%86-%D9%883-%D8%AC%D8%B1%D8%AD%D9%89-%D9%81%D9%8A-%D9%84%D8%A8%D8%A7%D9%8A%D8%A7-2,2026-03-05T20:32:00.000+02:00,2,3,preliminary,"MoPH update to 417702 chain - lower count than field report, flag for merge review"
INC-0013,417497,https://www.nna-leb.gov.lb/ar/news/417497/%D8%A7%D9%84%D8%B5%D8%AD%D8%A9-%D8%B4%D9%87%D9%8A%D8%AF%D8%A7%D9%86-%D9%88%D8%AC%D8%B1%D9%8A%D8%AD%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D8%BA%D8%A7%D8%B1%D8%A9-%D8%B9%D9%84%D9%89-%D8%B4%D9%82%D8%A9-%D8%B3%D9%83%D9%86%D9%8A%D8%A9-%D9%81%D9%8A-%D9%85%D8%AE%D9%8A%D9%85-%D8%A7%D9%84%D8%A8%D8%AF%D8%A7%D9%88%D9%8A-2,2026-03-05T02:49:00.000+02:00,2,1,preliminary,chain continues in 417511/417514
INC-0013,417511,https://www.nna-leb.gov.lb/ar/news/417511/%D8%B4%D9%87%D9%8A%D8%AF%D8%A7%D9%86-%D9%88%D8%AC%D8%B1%D9%8A%D8%AD%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D8%BA%D8%A7%D8%B1%D8%A9-%D8%B9%D9%84%D9%89-%D9%85%D8%AE%D9%8A%D9%85-%D8%A7%D9%84%D8%A8%D8%AF%D8%A7%D9%88%D9%8A-2,2026-03-05T04:57:21.000+02:00,2,1,preliminary,update/detail to 417497 chain
INC-0013,417514,https://www.nna-leb.gov.lb/ar/news/417514/%D8%B7%D9%88%D8%A7%D8%B1%D8%A6-%D8%A7%D9%84%D8%B5%D8%AD%D8%A9-%D8%B4%D9%87%D9%8A%D8%AF%D8%A7%D9%86-%D9%88%D8%AC%D8%B1%D9%8A%D8%AD%D8%A9-%D9%81%D9%8A-%D8%A7%D8%B3%D8%AA%D9%87%D8%AF%D8%A7%D9%81-%D8%B4%D9%82%D8%A9-%D8%B3%D9%83%D9%86%D9%8A%D8%A9-%D9%81%D9%8A-%D9%85%D8%AE%D9%8A%D9%85-%D8%A7%D9%84%D8%A8%D8%AF%D8%A7%D9%88%D9%8A-2,2026-03-05T05:18:08.000+02:00,2,1,preliminary,duplicate MoPH confirmation of 417497 chain
INC-0014,417734,https://www.nna-leb.gov.lb/ar/news/417734/4-%D8%B4%D9%87%D8%AF%D8%A7%D8%A1-%D8%A8%D9%8A%D9%86%D9%87%D9%85-%D8%B7%D9%81%D9%84%D8%A7%D9%86-%D8%A8%D8%BA%D8%A7%D8%B1%D8%A9-%D8%A7%D8%B3%D8%AA%D9%87%D8%AF%D9%81%D8%AA-%D9%85%D9%86%D8%B2%D9%84%D8%A7%D9%8B-%D9%81%D9%8A-%D9%85%D8%B4%D8%BA%D8%B1%D8%A9-2,2026-03-05T19:30:02.000+02:00,4,0,preliminary,2 of 4 dead are children; chain continues in 417747
INC-0014,417747,https://www.nna-leb.gov.lb/ar/news/417747/%D8%B7%D9%88%D8%A7%D8%B1%D9%89%D8%A1-%D8%A7%D9%84%D8%B5%D8%AD%D8%A9--4-%D8%B4%D9%87%D8%AF%D8%A7%D8%A1-%D9%85%D9%86-%D8%A8%D9%8A%D9%86%D9%87%D9%85-%D8%B7%D9%81%D9%84%D8%A7%D9%86-%D8%AD%D8%B5%D9%8A%D9%84%D8%A9-%D8%A7%D9%84%D8%BA%D8%A7%D8%B1%D8%A9-%D8%B9%D9%84%D9%89-%D9%85%D8%B4%D8%BA%D8%B1%D8%A9-2,2026-03-05T20:49:00.000+02:00,4,1,preliminary,"MoPH confirmation of 417734 chain; ages given (5yo girl, 7yo boy)"
INC-0015,417623,https://www.nna-leb.gov.lb/ar/news/417623/%D8%A7%D9%84%D8%BA%D8%A7%D8%B1%D8%A9-%D8%B9%D9%84%D9%89-%D9%85%D8%B9%D8%B1%D9%83%D8%A9-%D8%AA%D8%B3%D9%81%D8%B1-%D8%B9%D9%86-%D8%A7%D8%B3%D8%AA%D8%B4%D9%87%D8%A7%D8%AF-%D8%AB%D9%84%D8%A7%D8%AB%D8%A9-%D8%A3%D8%B4%D8%AE%D8%A7%D8%B5-%D9%88%D8%A5%D8%B5%D8%A7%D8%A8%D8%A9-%D8%B9%D8%AF%D8%AF-%D9%85%D9%86-%D8%A3%D9%81%D8%B1%D8%A7%D8%AF-%D8%B9%D8%A7%D8%A6%D9%84%D8%A9-%D9%86%D8%A7%D8%B2%D8%AD%D8%A9-2,2026-03-05T11:09:47.000+02:00,3,0,preliminary,
INC-0016,418000,https://www.nna-leb.gov.lb/ar/news/418000/%D8%B4%D9%87%D8%AF%D8%A7%D8%A1-%D9%81%D9%8A-%D8%BA%D8%A7%D8%B1%D8%A9-%D8%A7%D8%B3%D8%AA%D9%87%D8%AF%D9%81%D8%AA-%D8%A7%D9%84%D8%AD%D9%86%D9%8A%D8%A9-2,2026-03-06T17:00:00.000+02:00,,,preliminary,"death count vague ('a number of martyrs'), no figure given - linked to 417990's mention of a Haniyeh strike"
INC-0017,417915,https://www.nna-leb.gov.lb/ar/news/417915/%D8%A7%D8%B3%D8%AA%D8%B4%D9%87%D8%A7%D8%AF-%D8%B4%D9%82%D9%8A%D9%82-%D8%A7%D9%84%D8%B2%D9%85%D9%8A%D9%84-%D8%AF%D8%A7%D9%88%D8%AF-%D8%B1%D9%85%D8%A7%D9%84-%D9%88%D8%B2%D9%88%D8%AC%D8%AA%D9%87-%D8%AC%D8%B1%D8%A7%D8%A1-%D8%AA%D8%AF%D9%85%D9%8A%D8%B1-%D9%85%D9%86%D8%B2%D9%84%D9%8A%D9%87%D9%85%D8%A7-%D9%81%D9%8A-%D8%BA%D8%A7%D8%B1%D8%A9-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D8%AF%D9%88%D9%8A%D8%B1-%D9%88%D8%A5%D8%B5%D8%A7%D8%A8%D8%A9-%D8%B4%D9%82%D9%8A%D9%82%D9%87-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%A8%D8%AC%D8%B1%D9%88%D8%AD-%D8%A8%D8%A7%D9%84%D8%BA%D8%A9-2,2026-03-06T12:45:00.000+02:00,2,0,preliminary,"chain continues in 417945, toll rises to 5"
INC-0017,417945,https://www.nna-leb.gov.lb/ar/news/417945/%D8%A7%D9%84%D8%B9%D8%AF%D9%88-%D9%8A%D8%B1%D8%AA%D9%83%D8%A8-%D9%85%D8%AC%D8%B2%D8%B1%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D8%AF%D9%88%D9%8A%D8%B1--5-%D8%B4%D9%87%D8%AF%D8%A7%D8%A1-%D9%889-%D8%AC%D8%B1%D8%AD%D9%89-%D9%88%D8%AF%D9%85%D8%A7%D8%B1-%D9%87%D8%A7%D8%A6%D9%84-%D9%88%D9%85%D9%86%D8%A7%D8%B2%D9%84-%D8%AD%D9%88%D9%84%D8%AA-%D8%A7%D9%84%D9%89-%D8%A3%D8%B7%D9%84%D8%A7%D9%84-2,2026-03-06T13:50:00.000+02:00,5,9,preliminary,"update to 417915 chain; also mentions Haroof, Toul (near school), Kawthariyet al-Rez strikes w/ no confirmed deaths"
INC-0018,417913,https://www.nna-leb.gov.lb/ar/news/417913/3-%D8%B4%D9%87%D8%AF%D8%A7%D8%A1-%D9%81%D9%8A-%D8%A7%D9%84%D8%BA%D8%A7%D8%B1%D8%A9-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D8%B3%D8%B9%D9%8A%D8%AF%D8%A9-%D8%BA%D8%B1%D8%A8-%D8%A8%D8%B9%D9%84%D8%A8%D9%83-2,2026-03-06T12:40:21.000+02:00,3,0,preliminary,
INC-0019,417987,https://www.nna-leb.gov.lb/ar/news/417987/%D8%B7%D9%88%D8%A7%D8%B1%D9%89%D8%A1-%D8%A7%D9%84%D8%B5%D8%AD%D8%A9-%D8%B4%D9%87%D9%8A%D8%AF-%D8%B3%D9%88%D8%B1%D9%8A-%D9%883-%D8%AC%D8%B1%D8%AD%D9%89-%D8%AD%D8%B5%D9%8A%D9%84%D8%A9-%D8%A7%D9%84%D8%BA%D8%A7%D8%B1%D8%A9-%D8%B9%D9%84%D9%89-%D9%85%D9%86%D8%B7%D9%82%D8%A9-%D9%85%D8%A7%D8%B1-%D9%85%D8%AE%D8%A7%D9%8A%D9%84---%D8%A7%D9%84%D8%B4%D9%8A%D8%A7%D8%AD-2,2026-03-06T16:02:38.000+02:00,1,3,preliminary,1 dead is a Syrian national (per source) - not labeled civilian/combatant
INC-0020,417860,https://www.nna-leb.gov.lb/ar/news/417860/%D8%B4%D9%87%D9%8A%D8%AF-%D9%81%D9%8A-%D8%A7%D9%84%D8%BA%D8%A7%D8%B1%D8%A9-%D8%B9%D9%84%D9%89-%D8%A7%D8%B7%D8%B1%D8%A7%D9%81-%D8%A7%D9%84%D9%85%D8%B1%D9%88%D8%A7%D9%86%D9%8A%D8%A9-2,2026-03-06T10:45:46.000+02:00,1,0,preliminary,"district uncertain - Zahrani sometimes grouped under Sidon caza, verify"
INC-0021,417983,https://www.nna-leb.gov.lb/ar/news/417983/%D8%B7%D9%88%D8%A7%D8%B1%D9%89%D8%A1-%D8%A7%D9%84%D8%B5%D8%AD%D8%A9--3-%D8%B4%D9%87%D8%AF%D8%A7%D8%A1-%D9%8817-%D8%B4%D9%87%D9%8A%D8%AF%D8%A7-%D8%AD%D8%B5%D9%8A%D9%84%D8%A9-%D8%A7%D9%88%D9%84%D9%8A%D8%A9-%D9%84%D9%84%D8%BA%D8%A7%D8%B1%D8%A9-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D9%86%D8%A8%D9%8A-%D8%B4%D9%8A%D8%AA-2,2026-03-06T15:48:00.000+02:00,3,17,preliminary,first report in the large Nabi Chit chain; see notes on 418161/418101 for reconciliation complexity
INC-0021,417998,https://www.nna-leb.gov.lb/ar/news/417998/%D8%A7%D9%84%D8%AD%D8%B5%D9%8A%D9%84%D8%A9-%D8%A7%D9%84%D8%A3%D9%88%D9%84%D9%8A%D8%A9-%D9%84%D9%84%D8%BA%D8%A7%D8%B1%D8%A7%D8%AA-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D9%86%D8%A8%D9%8A-%D8%B4%D9%8A%D8%AA-4-%D8%B4%D9%87%D8%AF%D8%A7%D8%A1-%D9%8813-%D8%AC%D8%B1%D9%8A%D8%AD%D9%8B%D8%A7-2,2026-03-06T16:54:00.000+02:00,4,13,preliminary,update in Nabi Chit chain (follows 417983)
INC-0021,418034,https://www.nna-leb.gov.lb/ar/news/418034/%D8%A5%D8%B1%D8%AA%D9%81%D8%A7%D8%B9-%D8%AD%D8%B5%D9%8A%D9%84%D8%A9-%D8%A7%D9%84%D8%BA%D8%A7%D8%B1%D8%A7%D8%AA-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D9%86%D8%A8%D9%8A-%D8%B4%D9%8A%D8%AA-%D8%A5%D9%84%D9%89-9-%D8%B4%D9%87%D8%AF%D8%A7%D8%A1-%D9%8817-%D8%AC%D8%B1%D9%8A%D8%AD%D8%A7-2,2026-03-06T19:30:24.000+02:00,9,17,preliminary,update in Nabi Chit chain (follows 417998)
INC-0021,418039,https://www.nna-leb.gov.lb/ar/news/418039/%D8%A5%D8%B3%D8%AA%D9%87%D8%AF%D8%A7%D9%81-%D8%A8%D9%84%D8%AF%D8%A9-%D8%A7%D9%84%D9%86%D8%A8%D9%8A-%D8%B4%D9%8A%D8%AA-%D8%A8%D8%BA%D8%A7%D8%B1%D8%A9-%D8%B9%D8%A7%D8%B4%D8%B1%D8%A9-%D9%88%D8%A7%D8%B1%D8%AA%D9%82%D8%A7%D8%A1-10-%D8%B4%D9%87%D8%AF%D8%A7%D8%A1-2,2026-03-06T19:57:59.000+02:00,10,0,preliminary,update in Nabi Chit chain (follows 418034); 10 named victims listed individually
INC-0022,417988,https://www.nna-leb.gov.lb/ar/news/417988/%D8%B7%D9%88%D8%A7%D8%B1%D9%89%D8%A1-%D8%A7%D9%84%D8%B5%D8%AD%D8%A9-%D8%B4%D9%87%D9%8A%D8%AF-%D9%81%D9%8A-%D8%A7%D9%84%D8%BA%D8%A7%D8%B1%D8%A9-%D8%A7%D9%84%D9%85%D8%B9%D8%A7%D8%AF%D9%8A%D8%A9-%D8%B9%D9%84%D9%89-%D9%85%D9%86%D8%B7%D9%82%D8%A9-%D8%A8%D8%A6%D8%B1-%D8%AD%D8%B3%D9%86-2,2026-03-06T16:04:16.000+02:00,1,0,preliminary,"district/governorate uncertain - Bir Hassan admin boundary fuzzy, verify"
INC-0023,417806,https://www.nna-leb.gov.lb/ar/news/417806/%D8%BA%D8%A7%D8%B1%D8%A7%D8%AA-%D9%84%D9%8A%D9%84%D8%A7-%D9%88%D8%B5%D8%A8%D8%A7%D8%AD%D8%A7-%D8%B9%D9%84%D9%89-%D8%A8%D9%84%D8%AF%D8%A7%D8%AA-%D9%81%D9%8A-%D8%A7%D9%84%D9%86%D8%A8%D8%B7%D9%8A%D8%A9-%D8%AD%D8%B5%D8%AF%D8%AA-%D8%B4%D9%87%D8%AF%D8%A7%D8%A1-%D9%88%D8%AF%D9%85%D8%B1%D8%AA-%D9%85%D8%B3%D8%AC%D8%AF%D8%A7-%D9%88%D9%85%D9%86%D8%A7%D8%B2%D9%84-%D9%88%D9%85%D8%A8%D8%A7%D9%86%D9%8A-2,2026-03-06T07:36:00.000+02:00,1,0,preliminary,"roundup article; named victim: mosque muezzin Mahdi Fahs. Also mentions Jbeshit building strike ~2 dead (unconfirmed/hedged wording) - see separate row logic; other strikes (Meifadoun, Nabatieh Bayyad, Kfartebnit homes, Kawthariyet al-Rez, Qaaqaait al-Jisr, Ainata) reported without confirmed deaths"
INC-0024,417806b,https://www.nna-leb.gov.lb/ar/news/417806/%D8%BA%D8%A7%D8%B1%D8%A7%D8%AA-%D9%84%D9%8A%D9%84%D8%A7-%D9%88%D8%B5%D8%A8%D8%A7%D8%AD%D8%A7-%D8%B9%D9%84%D9%89-%D8%A8%D9%84%D8%AF%D8%A7%D8%AA-%D9%81%D9%8A-%D8%A7%D9%84%D9%86%D8%A8%D8%B7%D9%8A%D8%A9-%D8%AD%D8%B5%D8%AF%D8%AA-%D8%B4%D9%87%D8%AF%D8%A7%D8%A1-%D9%88%D8%AF%D9%85%D8%B1%D8%AA-%D9%85%D8%B3%D8%AC%D8%AF%D8%A7-%D9%88%D9%85%D9%86%D8%A7%D8%B2%D9%84-%D9%88%D9%85%D8%A8%D8%A7%D9%86%D9%8A-2,2026-03-06T07:36:00.000+02:00,2,0,preliminary,"same source article as 417806 (Toul mosque); casualty figure hedged ('وافيد عن' = it was reported, unconfirmed) - separate incident/location from Toul mosque so split into own row"
INC-0025,417808,https://www.nna-leb.gov.lb/ar/news/417808/%D8%B4%D9%87%D9%8A%D8%AF-%D9%81%D9%8A-%D8%A7%D9%84%D8%BA%D8%A7%D8%B1%D8%A9-%D8%B9%D9%84%D9%89-%D8%B5%D8%B1%D9%8A%D9%81%D8%A7-2,2026-03-06T07:38:28.000+02:00,1,0,preliminary,
INC-0026,417856,https://www.nna-leb.gov.lb/ar/news/417856/%D8%B4%D9%87%D9%8A%D8%AF%D8%A7%D9%86-%D9%81%D9%8A-%D8%AD%D8%B5%D9%8A%D9%84%D8%A9-%D8%A3%D9%88%D9%84%D9%8A%D8%A9-%D9%84%D8%BA%D8%A7%D8%B1%D8%A9-%D9%85%D8%A8%D9%86%D9%89-%D8%A7%D9%84%D9%85%D9%82%D8%A7%D8%B5%D8%AF-%D9%81%D9%8A-%D8%B5%D9%8A%D8%AF%D8%A7-2,2026-03-06T10:35:17.000+02:00,2,0,preliminary,chain continues in 417863
