incident_id,event_date,town,location_raw,district,governorate,deaths_final,injuries_final,attack_type,target_description,first_nna_report,final_nna_update,nna_url_count,all_nna_urls,all_article_ids,location_ambiguous,casualty_count_ambiguous,merge_notes
INC-0011,2026-03-05,كفررمان (Kfarremen),كفررمان,Nabatieh,Nabatieh,2,0,airstrike,unspecified (named victims: studio photographer + brother),2026-03-05T16:00:58.000+02:00,2026-03-05T16:00:58.000+02:00,1,https://www.nna-leb.gov.lb/ar/news/417686/%D8%A7%D9%84%D8%BA%D8%A7%D8%B1%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D8%B9%D8%A7%D8%AF%D9%8A%D8%A9-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D9%86%D8%A8%D8%B7%D9%8A%D8%A9-%D9%88%D8%A7%D9%84%D8%AC%D9%88%D8%A7%D8%B1-%D8%A7%D9%88%D9%82%D8%B9%D8%AA-%D8%B4%D9%87%D8%AF%D8%A7%D8%A1-%D9%88%D8%AC%D8%B1%D8%AD%D9%89-%D9%88%D8%A7%D8%AF%D8%AA-%D8%A7%D9%84%D9%89-%D8%A7%D8%B6%D8%B1%D8%A7%D8%B1-%D8%AC%D8%B3%D9%8A%D9%85%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D9%85%D8%A8%D8%A7%D9%86%D9%8A-%D8%A7%D9%84%D8%B3%D9%83%D9%86%D9%8A%D8%A9-%D9%88%D8%A7%D9%84%D9%85%D8%AD%D9%84%D8%A7%D8%AA-2,417686,0,0,roundup article; ONLY source for Kfarremen 2-dead fact; article also re-mentions Zawtar-family and Kfour-mukhtar deaths already captured in 417531/417534 - do not double count those
INC-0012,2026-03-05,لبايا (Libaya),لبايا,West Bekaa,Bekaa,2,3,airstrike,residence,2026-03-05T16:47:18.000+02:00,2026-03-05T20:32:00.000+02:00,2,https://www.nna-leb.gov.lb/ar/news/417702/%D8%B4%D9%87%D8%AF%D8%A7%D8%A1-%D9%88%D8%AC%D8%B1%D8%AD%D9%89-%D9%81%D9%8A-%D8%BA%D8%A7%D8%B1%D8%A9-%D8%B9%D9%84%D9%89-%D9%85%D9%86%D8%B2%D9%84%D9%8A%D9%86-%D9%81%D9%8A-%D9%84%D8%A8%D8%A7%D9%8A%D8%A7-%D9%88%D8%B7%D8%B1%D9%81%D9%87%D8%A7-%D8%A7%D9%84%D8%B4%D9%85%D8%A7%D9%84%D9%8A-2;https://www.nna-leb.gov.lb/ar/news/417743/%D8%B4%D9%87%D9%8A%D8%AF%D8%A7%D9%86-%D9%883-%D8%AC%D8%B1%D8%AD%D9%89-%D9%81%D9%8A-%D9%84%D8%A8%D8%A7%D9%8A%D8%A7-2,417702;417743,0,1,"chain continues in 417743 which gives a lower MoPH count (2 dead/3 inj) - flag for merge review, later report may supersede | MoPH update to 417702 chain - lower count than field report, flag for merge review"
INC-0013,2026-03-05,مخيم البداوي (Beddawi camp),مخيم البداوي - طرابلس,Tripoli,North Lebanon,2,1,airstrike,residential apartment,2026-03-05T02:49:00.000+02:00,2026-03-05T05:18:08.000+02:00,3,https://www.nna-leb.gov.lb/ar/news/417497/%D8%A7%D9%84%D8%B5%D8%AD%D8%A9-%D8%B4%D9%87%D9%8A%D8%AF%D8%A7%D9%86-%D9%88%D8%AC%D8%B1%D9%8A%D8%AD%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D8%BA%D8%A7%D8%B1%D8%A9-%D8%B9%D9%84%D9%89-%D8%B4%D9%82%D8%A9-%D8%B3%D9%83%D9%86%D9%8A%D8%A9-%D9%81%D9%8A-%D9%85%D8%AE%D9%8A%D9%85-%D8%A7%D9%84%D8%A8%D8%AF%D8%A7%D9%88%D9%8A-2;https://www.nna-leb.gov.lb/ar/news/417511/%D8%B4%D9%87%D9%8A%D8%AF%D8%A7%D9%86-%D9%88%D8%AC%D8%B1%D9%8A%D8%AD%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D8%BA%D8%A7%D8%B1%D8%A9-%D8%B9%D9%84%D9%89-%D9%85%D8%AE%D9%8A%D9%85-%D8%A7%D9%84%D8%A8%D8%AF%D8%A7%D9%88%D9%8A-2;https://www.nna-leb.gov.lb/ar/news/417514/%D8%B7%D9%88%D8%A7%D8%B1%D8%A6-%D8%A7%D9%84%D8%B5%D8%AD%D8%A9-%D8%B4%D9%87%D9%8A%D8%AF%D8%A7%D9%86-%D9%88%D8%AC%D8%B1%D9%8A%D8%AD%D8%A9-%D9%81%D9%8A-%D8%A7%D8%B3%D8%AA%D9%87%D8%AF%D8%A7%D9%81-%D8%B4%D9%82%D8%A9-%D8%B3%D9%83%D9%86%D9%8A%D8%A9-%D9%81%D9%8A-%D9%85%D8%AE%D9%8A%D9%85-%D8%A7%D9%84%D8%A8%D8%AF%D8%A7%D9%88%D9%8A-2,417497;417511;417514,0,0,chain continues in 417511/417514 | update/detail to 417497 chain | duplicate MoPH confirmation of 417497 chain
INC-0014,2026-03-05,مشغرة (Mashghara),مشغرة,West Bekaa,Bekaa,4,1,airstrike,residence,2026-03-05T19:30:02.000+02:00,2026-03-05T20:49:00.000+02:00,2,https://www.nna-leb.gov.lb/ar/news/417734/4-%D8%B4%D9%87%D8%AF%D8%A7%D8%A1-%D8%A8%D9%8A%D9%86%D9%87%D9%85-%D8%B7%D9%81%D9%84%D8%A7%D9%86-%D8%A8%D8%BA%D8%A7%D8%B1%D8%A9-%D8%A7%D8%B3%D8%AA%D9%87%D8%AF%D9%81%D8%AA-%D9%85%D9%86%D8%B2%D9%84%D8%A7%D9%8B-%D9%81%D9%8A-%D9%85%D8%B4%D8%BA%D8%B1%D8%A9-2;https://www.nna-leb.gov.lb/ar/news/417747/%D8%B7%D9%88%D8%A7%D8%B1%D9%89%D8%A1-%D8%A7%D9%84%D8%B5%D8%AD%D8%A9--4-%D8%B4%D9%87%D8%AF%D8%A7%D8%A1-%D9%85%D9%86-%D8%A8%D9%8A%D9%86%D9%87%D9%85-%D8%B7%D9%81%D9%84%D8%A7%D9%86-%D8%AD%D8%B5%D9%8A%D9%84%D8%A9-%D8%A7%D9%84%D8%BA%D8%A7%D8%B1%D8%A9-%D8%B9%D9%84%D9%89-%D9%85%D8%B4%D8%BA%D8%B1%D8%A9-2,417734;417747,0,0,"2 of 4 dead are children; chain continues in 417747 | MoPH confirmation of 417734 chain; ages given (5yo girl, 7yo boy)"
INC-0015,2026-03-05,معركة (Maaraka),معركة,Tyre,South Lebanon,3,0,airstrike,unspecified (displaced family present),2026-03-05T11:09:47.000+02:00,2026-03-05T11:09:47.000+02:00,1,https://www.nna-leb.gov.lb/ar/news/417623/%D8%A7%D9%84%D8%BA%D8%A7%D8%B1%D8%A9-%D8%B9%D9%84%D9%89-%D9%85%D8%B9%D8%B1%D9%83%D8%A9-%D8%AA%D8%B3%D9%81%D8%B1-%D8%B9%D9%86-%D8%A7%D8%B3%D8%AA%D8%B4%D9%87%D8%A7%D8%AF-%D8%AB%D9%84%D8%A7%D8%AB%D8%A9-%D8%A3%D8%B4%D8%AE%D8%A7%D8%B5-%D9%88%D8%A5%D8%B5%D8%A7%D8%A8%D8%A9-%D8%B9%D8%AF%D8%AF-%D9%85%D9%86-%D8%A3%D9%81%D8%B1%D8%A7%D8%AF-%D8%B9%D8%A7%D8%A6%D9%84%D8%A9-%D9%86%D8%A7%D8%B2%D8%AD%D8%A9-2,417623,0,0,
INC-0016,2026-03-06,الحنية (Al-Haniyeh),الحنية,Tyre,South Lebanon,,,airstrike,unspecified,2026-03-06T17:00:00.000+02:00,2026-03-06T17:00:00.000+02:00,1,https://www.nna-leb.gov.lb/ar/news/418000/%D8%B4%D9%87%D8%AF%D8%A7%D8%A1-%D9%81%D9%8A-%D8%BA%D8%A7%D8%B1%D8%A9-%D8%A7%D8%B3%D8%AA%D9%87%D8%AF%D9%81%D8%AA-%D8%A7%D9%84%D8%AD%D9%86%D9%8A%D8%A9-2,418000,0,1,"death count vague ('a number of martyrs'), no figure given - linked to 417990's mention of a Haniyeh strike"
INC-0017,2026-03-06,الدوير (Al-Dawir),الدوير,Nabatieh,Nabatieh,5,9,airstrike,home (3-story),2026-03-06T12:45:00.000+02:00,2026-03-06T13:50:00.000+02:00,2,https://www.nna-leb.gov.lb/ar/news/417915/%D8%A7%D8%B3%D8%AA%D8%B4%D9%87%D8%A7%D8%AF-%D8%B4%D9%82%D9%8A%D9%82-%D8%A7%D9%84%D8%B2%D9%85%D9%8A%D9%84-%D8%AF%D8%A7%D9%88%D8%AF-%D8%B1%D9%85%D8%A7%D9%84-%D9%88%D8%B2%D9%88%D8%AC%D8%AA%D9%87-%D8%AC%D8%B1%D8%A7%D8%A1-%D8%AA%D8%AF%D9%85%D9%8A%D8%B1-%D9%85%D9%86%D8%B2%D9%84%D9%8A%D9%87%D9%85%D8%A7-%D9%81%D9%8A-%D8%BA%D8%A7%D8%B1%D8%A9-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D8%AF%D9%88%D9%8A%D8%B1-%D9%88%D8%A5%D8%B5%D8%A7%D8%A8%D8%A9-%D8%B4%D9%82%D9%8A%D9%82%D9%87-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%A8%D8%AC%D8%B1%D9%88%D8%AD-%D8%A8%D8%A7%D9%84%D8%BA%D8%A9-2;https://www.nna-leb.gov.lb/ar/news/417945/%D8%A7%D9%84%D8%B9%D8%AF%D9%88-%D9%8A%D8%B1%D8%AA%D9%83%D8%A8-%D9%85%D8%AC%D8%B2%D8%B1%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D8%AF%D9%88%D9%8A%D8%B1--5-%D8%B4%D9%87%D8%AF%D8%A7%D8%A1-%D9%889-%D8%AC%D8%B1%D8%AD%D9%89-%D9%88%D8%AF%D9%85%D8%A7%D8%B1-%D9%87%D8%A7%D8%A6%D9%84-%D9%88%D9%85%D9%86%D8%A7%D8%B2%D9%84-%D8%AD%D9%88%D9%84%D8%AA-%D8%A7%D9%84%D9%89-%D8%A3%D8%B7%D9%84%D8%A7%D9%84-2,417915;417945,0,0,"chain continues in 417945, toll rises to 5 | update to 417915 chain; also mentions Haroof, Toul (near school), Kawthariyet al-Rez strikes w/ no confirmed deaths"
INC-0018,2026-03-06,السعيدة (Saaideh),السعيدة - غرب بعلبك,Baalbek,Baalbek-Hermel,3,0,airstrike,residence,2026-03-06T12:40:21.000+02:00,2026-03-06T12:40:21.000+02:00,1,https://www.nna-leb.gov.lb/ar/news/417913/3-%D8%B4%D9%87%D8%AF%D8%A7%D8%A1-%D9%81%D9%8A-%D8%A7%D9%84%D8%BA%D8%A7%D8%B1%D8%A9-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D8%B3%D8%B9%D9%8A%D8%AF%D8%A9-%D8%BA%D8%B1%D8%A8-%D8%A8%D8%B9%D9%84%D8%A8%D9%83-2,417913,0,0,
INC-0019,2026-03-06,الشياح (Chiyah)/مار مخايل,مار مخايل - الشياح,Baabda,Mount Lebanon,1,3,airstrike,unspecified,2026-03-06T16:02:38.000+02:00,2026-03-06T16:02:38.000+02:00,1,https://www.nna-leb.gov.lb/ar/news/417987/%D8%B7%D9%88%D8%A7%D8%B1%D9%89%D8%A1-%D8%A7%D9%84%D8%B5%D8%AD%D8%A9-%D8%B4%D9%87%D9%8A%D8%AF-%D8%B3%D9%88%D8%B1%D9%8A-%D9%883-%D8%AC%D8%B1%D8%AD%D9%89-%D8%AD%D8%B5%D9%8A%D9%84%D8%A9-%D8%A7%D9%84%D8%BA%D8%A7%D8%B1%D8%A9-%D8%B9%D9%84%D9%89-%D9%85%D9%86%D8%B7%D9%82%D8%A9-%D9%85%D8%A7%D8%B1-%D9%85%D8%AE%D8%A7%D9%8A%D9%84---%D8%A7%D9%84%D8%B4%D9%8A%D8%A7%D8%AD-2,417987,0,0,1 dead is a Syrian national (per source) - not labeled civilian/combatant
INC-0020,2026-03-06,المروانية (Marwaniyeh),اطراف المروانية - الزهراني,Zahrani,South Lebanon,1,0,airstrike,unspecified,2026-03-06T10:45:46.000+02:00,2026-03-06T10:45:46.000+02:00,1,https://www.nna-leb.gov.lb/ar/news/417860/%D8%B4%D9%87%D9%8A%D8%AF-%D9%81%D9%8A-%D8%A7%D9%84%D8%BA%D8%A7%D8%B1%D8%A9-%D8%B9%D9%84%D9%89-%D8%A7%D8%B7%D8%B1%D8%A7%D9%81-%D8%A7%D9%84%D9%85%D8%B1%D9%88%D8%A7%D9%86%D9%8A%D8%A9-2,417860,0,0,"district uncertain - Zahrani sometimes grouped under Sidon caza, verify"
INC-0021,2026-03-06,النبي شيت (Nabi Chit/Nabi Sheet),النبي شيت,Baalbek,Baalbek-Hermel,10,0,airstrike,residential neighborhoods,2026-03-06T15:48:00.000+02:00,2026-03-06T19:57:59.000+02:00,4,https://www.nna-leb.gov.lb/ar/news/417983/%D8%B7%D9%88%D8%A7%D8%B1%D9%89%D8%A1-%D8%A7%D9%84%D8%B5%D8%AD%D8%A9--3-%D8%B4%D9%87%D8%AF%D8%A7%D8%A1-%D9%8817-%D8%B4%D9%87%D9%8A%D8%AF%D8%A7-%D8%AD%D8%B5%D9%8A%D9%84%D8%A9-%D8%A7%D9%88%D9%84%D9%8A%D8%A9-%D9%84%D9%84%D8%BA%D8%A7%D8%B1%D8%A9-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D9%86%D8%A8%D9%8A-%D8%B4%D9%8A%D8%AA-2;https://www.nna-leb.gov.lb/ar/news/417998/%D8%A7%D9%84%D8%AD%D8%B5%D9%8A%D9%84%D8%A9-%D8%A7%D9%84%D8%A3%D9%88%D9%84%D9%8A%D8%A9-%D9%84%D9%84%D8%BA%D8%A7%D8%B1%D8%A7%D8%AA-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D9%86%D8%A8%D9%8A-%D8%B4%D9%8A%D8%AA-4-%D8%B4%D9%87%D8%AF%D8%A7%D8%A1-%D9%8813-%D8%AC%D8%B1%D9%8A%D8%AD%D9%8B%D8%A7-2;https://www.nna-leb.gov.lb/ar/news/418034/%D8%A5%D8%B1%D8%AA%D9%81%D8%A7%D8%B9-%D8%AD%D8%B5%D9%8A%D9%84%D8%A9-%D8%A7%D9%84%D8%BA%D8%A7%D8%B1%D8%A7%D8%AA-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D9%86%D8%A8%D9%8A-%D8%B4%D9%8A%D8%AA-%D8%A5%D9%84%D9%89-9-%D8%B4%D9%87%D8%AF%D8%A7%D8%A1-%D9%8817-%D8%AC%D8%B1%D9%8A%D8%AD%D8%A7-2;https://www.nna-leb.gov.lb/ar/news/418039/%D8%A5%D8%B3%D8%AA%D9%87%D8%AF%D8%A7%D9%81-%D8%A8%D9%84%D8%AF%D8%A9-%D8%A7%D9%84%D9%86%D8%A8%D9%8A-%D8%B4%D9%8A%D8%AA-%D8%A8%D8%BA%D8%A7%D8%B1%D8%A9-%D8%B9%D8%A7%D8%B4%D8%B1%D8%A9-%D9%88%D8%A7%D8%B1%D8%AA%D9%82%D8%A7%D8%A1-10-%D8%B4%D9%87%D8%AF%D8%A7%D8%A1-2,417983;417998;418034;418039,0,0,first report in the large Nabi Chit chain; see notes on 418161/418101 for reconciliation complexity | update in Nabi Chit chain (follows 417983) | update in Nabi Chit chain (follows 417998) | update in Nabi Chit chain (follows 418034); 10 named victims listed individually
INC-0022,2026-03-06,بئر حسن (Bir Hassan),بئر حسن,Baabda,Mount Lebanon,1,0,airstrike,unspecified,2026-03-06T16:04:16.000+02:00,2026-03-06T16:04:16.000+02:00,1,https://www.nna-leb.gov.lb/ar/news/417988/%D8%B7%D9%88%D8%A7%D8%B1%D9%89%D8%A1-%D8%A7%D9%84%D8%B5%D8%AD%D8%A9-%D8%B4%D9%87%D9%8A%D8%AF-%D9%81%D9%8A-%D8%A7%D9%84%D8%BA%D8%A7%D8%B1%D8%A9-%D8%A7%D9%84%D9%85%D8%B9%D8%A7%D8%AF%D9%8A%D8%A9-%D8%B9%D9%84%D9%89-%D9%85%D9%86%D8%B7%D9%82%D8%A9-%D8%A8%D8%A6%D8%B1-%D8%AD%D8%B3%D9%86-2,417988,0,0,"district/governorate uncertain - Bir Hassan admin boundary fuzzy, verify"
