location_day_id,location,event_date,status,confirming_url,query_used,reason
LD-2026-03-30-بنت جبيل (Bint Jbeil city),بنت جبيل (Bint Jbeil city),2026-03-30,covered,https://www.aa.com.tr/en/middle-east/at-least-10-killed-as-israeli-airstrikes-pummel-44-towns-across-southern-lebanon/3889917,"(""Bint Jbeil"" OR ""Bint Jbail"" OR ""Bent Jbeil"") AND Lebanon","[alias match: ""bint jbeil""] Confirmed via full-text fetch, base/generic query. alias match: ""bint jbeil"""
LD-2026-03-24-حبوش (Habbouch),حبوش (Habbouch),2026-03-24,covered,https://tribune.net.ph/2026/03/26/iran-braces-for-invasion-of-island,"(""Habbouch"" OR ""Habboush"") AND Lebanon","[alias match: ""habboush""] Confirmed via full-text fetch, base/generic query. alias match: ""habboush"""
LD-2026-03-07-كفررمان (Kfarremen),كفررمان (Kfarremen),2026-03-07,covered,https://www.dawn.com/news/1979651/israeli-strikes-on-south-lebanon-kill-eight-ministry,"(""Kfarremen"" OR ""Kfar Remen"" OR ""Kfar Rumman"" OR ""Kfar Roummane"") AND Lebanon","[alias match: ""kfar rumman""] Confirmed via full-text fetch, base/generic query. alias match: ""kfar rumman"""
LD-2026-03-29-بنت جبيل (Bint Jbeil city),بنت جبيل (Bint Jbeil city),2026-03-29,covered,https://www.ynetnews.com/article/h1e7deij11g,"(""Bint Jbeil"" OR ""Bint Jbail"" OR ""Bent Jbeil"") AND Lebanon","[alias match: ""bint jbeil""] Confirmed via full-text fetch, base/generic query. alias match: ""bint jbeil"""
LD-2026-03-22-حبوش (Habbouch),حبوش (Habbouch),2026-03-22,covered,https://www.dailysabah.com/world/mid-east/nine-more-killed-as-israel-continues-to-strike-beirut-s-lebanon,"(""Habbouch"" OR ""Habboush"") AND Lebanon","[alias match: ""habboush""] Confirmed via full-text fetch, base/generic query. alias match: ""habboush"""
LD-2026-03-08-الدوير (Al-Dawir),الدوير (Al-Dawir),2026-03-08,covered,https://www.bernama.com/en/news.php/?id=2532021,"(""Dawir"" OR ""Douair"" OR ""Ed-Doueir"" OR ""Al-Dawir"") AND Lebanon","[title casualty match: ""6 killed""] Confirmed via full-text fetch, base/generic query. title casualty match: ""6 killed"""
LD-2026-03-28-كفرتبنيت (Kfartebnit),كفرتبنيت (Kfartebnit),2026-03-28,covered,https://www.aa.com.tr/en/middle-east/10-killed-in-israeli-strikes-on-2-towns-in-south-lebanon/3883559,"(""Kfartebnit"" OR ""Kfar Tebnit"" OR ""Kfartibnit"") AND Lebanon","[alias match: ""kfartebnit""] Confirmed via full-text fetch, base/generic query. alias match: ""kfartebnit"""
LD-2026-03-19-البازورية (Bazouriyeh),البازورية (Bazouriyeh),2026-03-19,covered,https://www.aa.com.tr/en/middle-east/israeli-attacks-kill-4-in-southern-lebanon/3871819,"(""Bazouriyeh"" OR ""Bazourieh"" OR ""Bazuriyeh"") AND Lebanon","[alias match: ""bazourieh""] Confirmed via full-text fetch, base/generic query. alias match: ""bazourieh"""
LD-2026-03-12-الحدث (Hadath),الحدث (Hadath),2026-03-12,covered,https://www.ibtimes.co.in/hezbollah-fires-rockets-israeli-rafael-facility-idf-retaliates-strikes-across-lebanon-899431,"(""Hadath"" OR ""Hadeth"" OR ""Al-Hadath"") AND Lebanon","[alias match: ""hadath""] Confirmed via full-text fetch, base/generic query. alias match: ""hadath"""
LD-2026-03-14-النبعة (Nabaa),النبعة (Nabaa),2026-03-14,covered,https://www.dawn.com/news/1982247/israeli-strike-kills-12-lebanon-medics-amid-peace-push,"(""Nabaa"" OR ""Naba"" OR ""El-Nabaa"" OR ""Bourj Hammoud"") AND Lebanon","[alias match: ""nabaa""] Confirmed via full-text fetch, base/generic query. alias match: ""nabaa"""
LD-2026-03-24-Adloun-Abu al-Aswad area,Adloun-Abu al-Aswad area,2026-03-24,covered,https://tribune.net.ph/2026/03/26/iran-braces-for-invasion-of-island,"(""Adloun"" OR ""Adlun"" OR ""Abu al-Aswad"" OR ""Abou el-Aswad"") AND Lebanon","[alias match: ""adloun""] Confirmed via full-text fetch, base/generic query. alias match: ""adloun"""
LD-2026-03-14-حارة صيدا (Harit Saida),حارة صيدا (Harit Saida),2026-03-14,covered,https://www.bernama.com/en/news.php/?id=2534689,"(""Harit Saida"" OR ""Haret Saida"" OR ""Hara Saida"") AND Lebanon","[alias match: ""haret saida""] Confirmed via full-text fetch, base/generic query. alias match: ""haret saida"""
LD-2026-03-08-الروشة (Raouche),الروشة (Raouche),2026-03-08,covered,https://dawatmedia24.com/world/iran-says-four-diplomats-killed-in-israeli-strike-in-beirut-vows-accountability/,"(""Raouche"" OR ""Rawshe"" OR ""Rawcheh"" OR ""Al-Rawsheh"") AND Lebanon","[alias match: ""raouche""] Confirmed via full-text fetch, base/generic query. alias match: ""raouche"""
LD-2026-03-31-صريفا (Srifa),صريفا (Srifa),2026-03-31,covered,https://diplomat.so/articles/1060/Israel-Targets-Multiple-Areas-in-Lebanon-Air-Raids,"(""Srifa"" OR ""Sreifa"" OR ""Sarifa"") AND Lebanon","[alias match: ""srifa""] Confirmed via full-text fetch, base/generic query. alias match: ""srifa"""
LD-2026-03-19-عدلون (Adloun),عدلون (Adloun),2026-03-19,covered,https://www.aa.com.tr/en/middle-east/israeli-attacks-kill-4-in-southern-lebanon/3871819,"(""Adloun"" OR ""Adlun"" OR ""Adloune"") AND Lebanon","[alias match: ""adloun""] Confirmed via full-text fetch, base/generic query. alias match: ""adloun"""
LD-2026-03-24-الشبريحة (Shabriha junction),الشبريحة (Shabriha junction),2026-03-24,covered,http://www.adaderana.lk/news.php?nid=120215,"(""Shabriha"" OR ""Chabriha"") AND Lebanon","[title casualty match: ""killed 1""] Confirmed via full-text fetch, base/generic query. title casualty match: ""killed 1"""
LD-2026-03-12-عرمون (Aramoun),عرمون (Aramoun),2026-03-12,covered,https://www.dawn.com/news/1981537/strike-on-beirut-kills-12-after-israels-land-grab-threat,"(""Aramoun"" OR ""Aarammoune"") AND Lebanon","[alias match: ""aramoun""] Confirmed via full-text fetch, base/generic query. alias match: ""aramoun"""
LD-2026-03-24-بشامون (Bshamoun),بشامون (Bshamoun),2026-03-24,covered,https://www.dailysabah.com/world/mid-east/iran-israel-keep-trading-blows-amid-mixed-trump-talk-messages,"(""Bshamoun"" OR ""Bchamoun"") AND Lebanon","Result 5 of 43 (base query). Article states ""a strike on Bshamoun, south of the capital, killed two people Tuesday,"" with a named-resident quote from Bshamoun."
LD-2026-03-20-الغندورية (Al-Ghandouriyeh),الغندورية (Al-Ghandouriyeh),2026-03-20,covered,https://www.standardmedia.co.ke/world/article/2001543531/israel-targeting-hezbollah-in-beirut-strikes-south-lebanon-struck,"(""Ghandouriyeh"" OR ""Ghandourieh"" OR ""Al-Ghandouriyeh"") AND Lebanon","[alias match: ""ghandouriyeh""] Confirmed via full-text fetch, base/generic query. alias match: ""ghandouriyeh"""
LD-2026-03-31-خلدة (Khaldeh),خلدة (Khaldeh),2026-03-31,covered,https://diplomat.so/articles/1060/Israel-Targets-Multiple-Areas-in-Lebanon-Air-Raids,"(""Khaldeh"" OR ""Khalde"") AND Lebanon","Result 3 of 33 (base query). Article states ""another strike on a vehicle along the Khaldeh road south of the capital resulted in two fatalities, Lebanon's National News Agency reported"" -- matches incident record (2 deaths, car strike)."
