article_id,include,exclusion_reason,event_date,event_time_if_known,location_raw,town,district,governorate,deaths_reported,injuries_reported,attack_type,target_description,preliminary_or_final,location_ambiguous,casualty_count_ambiguous,notes
417863,1,,2026-03-06,,صيدا,صيدا (Sidon),Sidon,South Lebanon,5,7,airstrike,Al-Maqassed building,preliminary,0,0,MoPH update to 417856 chain
417913,1,,2026-03-06,,السعيدة - غرب بعلبك,السعيدة (Saaideh),Baalbek,Baalbek-Hermel,3,0,airstrike,residence,preliminary,0,0,
417915,1,,2026-03-06,,الدوير,الدوير (Al-Dawir),Nabatieh,Nabatieh,2,0,airstrike,two homes destroyed,preliminary,0,0,"chain continues in 417945, toll rises to 5"
417945,1,,2026-03-06,,الدوير,الدوير (Al-Dawir),Nabatieh,Nabatieh,5,9,airstrike,home (3-story),preliminary,0,0,"update to 417915 chain; also mentions Haroof, Toul (near school), Kawthariyet al-Rez strikes w/ no confirmed deaths"
417959,0,No new confirmed death count in this article; narrative update on ongoing rescue ops from earlier strikes in same town (Nabi Chit),,,,,,,,,,,,,,
417963,1,,2026-03-06,dawn,كفررمان,كفررمان (Kfarremen),Nabatieh,Nabatieh,2,0,airstrike,unspecified (named brothers Hassan and Ali Kamal Abu Zeid),preliminary,0,0,article also covers Bint Jbeil/Haniyeh/Aita al-Shaab/Ramyeh strikes and a motorcycle drone strike w/ only 1 injury (no death) - not incident-worthy on their own
417965,0,"General cumulative toll bulletin (MoPH), Mon dawn-Fri evening",,,,,,,,,,,,,,
417983,1,,2026-03-06,,النبي شيت,النبي شيت (Nabi Chit/Nabi Sheet),Baalbek,Baalbek-Hermel,3,17,airstrike,residential areas of the town,preliminary,0,0,first report in the large Nabi Chit chain; see notes on 418161/418101 for reconciliation complexity
417987,1,,2026-03-06,,مار مخايل - الشياح,الشياح (Chiyah)/مار مخايل,Baabda,Mount Lebanon,1,3,airstrike,unspecified,preliminary,0,0,1 dead is a Syrian national (per source) - not labeled civilian/combatant
417988,1,,2026-03-06,,بئر حسن,بئر حسن (Bir Hassan),Baabda,Mount Lebanon,1,0,airstrike,unspecified,preliminary,0,0,"district/governorate uncertain - Bir Hassan admin boundary fuzzy, verify"
417990,1,,2026-03-06,,مجدل سلم,مجدل سلم (Majdal Selem),Tyre,South Lebanon,9,0,airstrike,residence,preliminary,0,0,"named: Saleh family, mostly women/children; article also mentions a strike on Haniyeh w/ no toll here - see 418000"
417998,1,,2026-03-06,,النبي شيت,النبي شيت (Nabi Chit/Nabi Sheet),Baalbek,Baalbek-Hermel,4,13,airstrike,residential neighborhoods,preliminary,0,0,update in Nabi Chit chain (follows 417983)
418000,1,,2026-03-06,,الحنية,الحنية (Al-Haniyeh),Tyre,South Lebanon,,,airstrike,unspecified,preliminary,0,1,"death count vague ('a number of martyrs'), no figure given - linked to 417990's mention of a Haniyeh strike"
418034,1,,2026-03-06,,النبي شيت,النبي شيت (Nabi Chit/Nabi Sheet),Baalbek,Baalbek-Hermel,9,17,airstrike,residential neighborhoods,preliminary,0,0,update in Nabi Chit chain (follows 417998)
418036,1,,2026-03-06,evening,قلويه,قلويه (Qalawiyeh),Bint Jbeil,Nabatieh,2,0,airstrike,unspecified,preliminary,0,0,likely same event as 418038's Qalawiyeh mention (spelling variant قلاويه) - flag for merge review; district corrected to Bint Jbeil per 419080 (batch 3)
418038,1,,2026-03-06,evening,قلاويه,قلاويه (Qalawiyeh),Bint Jbeil,Nabatieh,2,0,airstrike,unspecified,preliminary,0,0,"likely duplicate of 418036 (same village, same evening); article also covers Yatar and Shaqra strikes w/ no deaths reported; district corrected to Bint Jbeil per 419080 (batch 3)"
418039,1,,2026-03-06,by 21:30,النبي شيت,النبي شيت (Nabi Chit/Nabi Sheet),Baalbek,Baalbek-Hermel,10,0,airstrike,residential neighborhoods,preliminary,0,0,update in Nabi Chit chain (follows 418034); 10 named victims listed individually
418052,0,No new confirmed death count; narrative/atmosphere update on ongoing recovery (13th strike reported but no new toll given),,,,,,,,,,,,,,
418071,1,,2026-03-07,dawn,النبي شيت,النبي شيت (Nabi Chit/Nabi Sheet),Baalbek,Baalbek-Hermel,3,16,airstrike,residential areas ('renewed' strikes),preliminary,0,1,labeled 'renewed' (متجددة) strikes - possibly a distinct new wave rather than simple continuation; reconciliation with 418094/418161 totals is unclear - flag heavily for merge review
418090,1,,2026-03-07,dawn,شمسطار - ضهر الصوان,شمسطار (Shamsatar),Baalbek,Baalbek-Hermel,6,0,airstrike,residence sheltering a displaced family,preliminary,0,0,entire family of 6 (2 parents+4 children) killed; update/confirmation in 418157
418093,1,,2026-03-07,dawn,جبشيت,جبشيت (Jbeshit),Nabatieh,Nabatieh,6,0,airstrike,residence,preliminary,0,0,"4 of 6 from one family; article also reports later-morning strike destroying town square (no add'l deaths given here), plus Kawthariyet al-Rez/Ansar/Zawtar al-Sharqiya strikes w/ no deaths, and a vague/unconfirmed Kfartebnit death report - see separate row for that"
418093b,1,,2026-03-07,,كفرتبنيت,كفرتبنيت (Kfartebnit),Nabatieh,Nabatieh,,,airstrike,unspecified,preliminary,0,1,"same source article as 418093 (Jbeshit massacre); casualty figure hedged ('وافيد عن ارتقاء شهداء' = reported, unconfirmed, no number) - separate location so split into own row"
418094,1,,2026-03-07,,النبي شيت,النبي شيت (Nabi Chit/Nabi Sheet),Baalbek,Baalbek-Hermel,16,35,airstrike,"residential neighborhoods (running total, pre-commando-raid)",preliminary,0,0,"aggregate update in Nabi Chit chain, published just before the commando-raid report (418101) - likely does not yet include those 26"
418101,1,,2026-03-07,until ~03:00,النبي شيت,النبي شيت (Nabi Chit - raid also affected Khirbeh/Sarain/Ali al-Nahri),Baalbek,Baalbek-Hermel,26,,ground commando raid + supporting airstrikes,"Israeli special-forces unit landed by helicopter near a village cemetery, engaged in firefight after being spotted; ~40 supporting airstrikes on access roads to cover extraction",preliminary,1,0,"MAJOR distinct incident, NOT a simple airstrike - flag attack_type separately in stats. Of the 26 dead: 3 explicitly identified as Lebanese Army soldiers + 1 General Security (per source); breakdown by locality: 15 Nabi Chit, 9 Khirbeh, 1 Sarain, 1 Ali al-Nahri. Corroborated by Army statement 418148. Reconciliation with 418161's 41-total figure unclear - flag heavily for user review"
418139,1,,2026-03-07,,كوثرية الرز,كوثرية الرز (Kawthariyet al-Rez),Sidon,South Lebanon,2,0,airstrike,residence (sheikh's home),preliminary,0,0,"named: sheikh Adel al-Turki's two sons; sheikh himself badly wounded; district uncertain (may be Zahrani caza), verify"
418148,1,,2026-03-07,22:50 (6-7/3) to ~03:00,النبي شيت - الخريبة,النبي شيت / الخريبة,Baalbek,Baalbek-Hermel,,,ground commando raid + supporting airstrikes,Lebanese Army statement confirming the same helicopter-landed force/firefight as 418101; gives partial figure only ('3 soldiers and a number of citizens'),preliminary,1,1,"official Army corroboration of 418101 - same incident, do not double count; casualty figure here is partial/vague, defer to 418101's fuller breakdown"
418157,1,,2026-03-07,dawn,شمسطار,شمسطار (Shamsatar),Baalbek,Baalbek-Hermel,6,0,airstrike,residence,preliminary,0,0,MoPH update/confirmation of 418090 chain (4 children + 1 woman + implied father)
418161,1,,2026-03-07,,النبي شيت والبلدات المحيطة,النبي شيت (+ surrounding towns),Baalbek,Baalbek-Hermel,41,40,airstrike,combined total across Nabi Chit and surrounding towns,likely-final-for-day,1,1,"cross-cutting SUMMARY figure for the whole Nabi Chit cluster of events that day - does NOT cleanly equal the sum of the individually tracked sub-incidents (residential chain topped out at 16, +commando raid 26, +Shamsatar 6 = 48, not 41). Flag prominently for user reconciliation at merge stage; do not naively add this to the sub-incident totals"
418186,0,"General cumulative toll bulletin (MoPH), Mon dawn-Sat afternoon",,,,,,,,,,,,,,
418222,1,,2026-03-07,afternoon,ميفدون,ميفدون (Meifadoun),Nabatieh,Nabatieh,5,0,airstrike,residential neighborhood (destroyed),preliminary,0,0,"article is an area-wide roundup; also reports a SEPARATE afternoon Jbeshit strike (3 dead, see next row) and several strikes w/ no reported deaths (Arnoun ambulance-injuries only, Zebdine, Ansar, Breiqaa, Bint Jbeil villages)"
418222b,1,,2026-03-07,afternoon,جبشيت,جبشيت (Jbeshit),Nabatieh,Nabatieh,3,0,airstrike,unspecified,preliminary,0,0,"same source article as 418222; distinct afternoon strike, separate from the morning's 6-dead Jbeshit massacre (418093) - flag for merge review whether additive or overlapping"
418230,1,,2026-03-07,,صريفا,صريفا (Srifa),Tyre,South Lebanon,2,0,airstrike,unspecified,preliminary,0,0,"different date from the earlier 1-dead Srifa strike (417808, March 5) - separate incident"
418252,1,,2026-03-07,,كوثرية الرز,كوثرية الرز (Kawthariyet al-Rez),Sidon,South Lebanon,3,0,strike on rescue/civil-defense team,Civil Defense - Islamic Health Authority rescue team (explicitly identified by source),preliminary,0,0,"distinct incident from 418139 (different target - rescue team, not the sheikh's home); article also covers Jbeshit/Arnoun responder strikes w/ injuries only, no deaths"
418268,1,,2026-03-07,evening,زبدين - محطة القبيسي,زبدين (Zebdine),Nabatieh,Nabatieh,,,airstrike,unspecified,preliminary,0,1,"death count vague ('a number of martyrs'), no figure given"
418268b,1,,2026-03-07,evening,طريق الشرقية - كوثرية السياد,Sharqiya/Kawthariyet al-Sayad road,Nabatieh,Nabatieh,1,0,airstrike,vehicle presumed (road strike),preliminary,1,0,"same source article as 418268; strike on road between two towns, not a single town - split into own row"
418275,1,,2026-03-07,night,كفررمان,كفررمان (Kfarremen),Nabatieh,Nabatieh,2,0,drone strike,motorcycle,preliminary,0,1,"death count hedged ('وافيد عن')- likely same event as 418281's MoPH confirmation, flag for merge review; article also covers Nabatieh al-Fawqa, Jabal al-Ahmar/Jbeshit, and Aitaroun strikes w/ no deaths reported"
418281,1,,2026-03-07,night,كفررمان,كفررمان (Kfarremen),Nabatieh,Nabatieh,2,0,drone strike,unspecified,preliminary,0,0,"MoPH confirmation, likely same incident as 418275 - do not double count"
418284,1,,2026-03-07,night,جبال البطم,جبال البطم (Jabal al-Botm),Tyre,South Lebanon,3,0,drone strike,café,preliminary,0,0,chain continues/confirmed in 418298
418287,1,,2026-03-07,,خربة سلم,خربة سلم (Khirbet Selm),Bint Jbeil,Nabatieh,6,5,airstrike,unspecified,preliminary,0,0,toll for the Khirbet Selm strike mentioned in passing in 418222's roundup
418290,1,,2026-03-08,dawn,قانا,قانا (Qana),Tyre,South Lebanon,4,,airstrike,residence,preliminary,0,0,
418291,1,,2026-03-08,dawn,الروشة - بيروت,الروشة (Raouche),Beirut,Beirut,4,10,airstrike,hotel room,preliminary,0,0,"toll updated within the same article (3->4 dead, 9->10 injured, one injured person died)"
418293,1,,2026-03-08,night,تفاحتا,تفاحتا (Tfahta),Sidon,South Lebanon,8,0,airstrike,residence,preliminary,0,0,"initial/unconfirmed estimate of whole family (8); revised down in 418296 to 5 - flag discrepancy for merge review, use latest (5) per methodology but preserve 8 in updates table"
418296,1,,2026-03-08,,تفاحتا,تفاحتا (Tfahta),Sidon,South Lebanon,5,0,airstrike,residence,preliminary,0,0,"MoPH revision of 418293 chain (8->5), still described as preliminary/not final, search for missing continuing"
418298,1,,2026-03-08,dawn,جبال البطم,جبال البطم (Jabal al-Botm),Tyre,South Lebanon,3,4,drone strike,café,preliminary,0,0,confirms/duplicates 418284 - do not double count
418315,1,,2026-03-08,,الشعيتية,الشعيتية (Al-Shaitiyeh),Tyre,South Lebanon,,,airstrike,unspecified,preliminary,0,1,"death count vague ('casualties and martyrs reported'), no figure given"
418322,1,,2026-03-08,,عيتيت,عيتيت (Aitit),Nabatieh,Nabatieh,3,,airstrike,residence,preliminary,0,0,
418162,1,,2026-03-07,morning,زوطر الشرقية,زوطر الشرقية (Zawtar al-Sharqiya),Nabatieh,Nabatieh,5,0,airstrike,two separate residential buildings (town center + Harit al-Fawqa neighborhood),preliminary,0,0,"ADDED during validation audit - originally missed during initial classification (present in the batch-2 source dump but skipped). Two days after and distinct from the March 5 417516/417534 Zawtar al-Sharqiya cluster - separate incident, different date"
418323,0,"Sudan drone strike, unrelated conflict - deaths outside Lebanon and not an Israeli attack",,,,,,,,,,,,,,
418326,1,,2026-03-08,night,صير الغربية,صير الغربية (Sir al-Gharbiyeh),Nabatieh,Nabatieh,19,0,airstrike,3-story residential building,preliminary,0,0,"initial correspondent estimate; MoPH update in 418500 gives a much lower 10 - large discrepancy, flag heavily for merge review; article also mentions earlier Al-Bayader strike (between Kfarjouz/Habbouch) w/ no deaths"
418371,1,,2026-03-08,,تفاحتا - حي الظهور,تفاحتا (Tfahta),Sidon,South Lebanon,8,0,airstrike,3-story residential building,final,0,0,same Tfahta massacre as 418293/418296 (batch 2) - full named victim list (8) confirms the original 8 estimate was correct and 418296's MoPH interim figure of 5 was itself preliminary/incomplete; treat this as the final count for that incident
418372,1,,2026-03-08,,الغازية,الغازية (Ghazieh),Sidon,South Lebanon,2,0,airstrike,building housing a displaced family,preliminary,0,0,named: Brig. Gen. Mohammad Hammadi + nephew; update/confirmation in 418515
418413,1,,2026-03-07,night (reported 3/8),الشرقية,"الشرقية (Sharqiya - village, distinct from Zawtar al-Sharqiya)",Nabatieh,Nabatieh,3,0,airstrike,unspecified,preliminary,0,0,"retrospective mention of a prior night's strike; town identity uncertain - could be a village literally named 'Sharqiya' or a truncated ref to Zawtar al-Sharqiya, verify. Article also covers same-day Bayad/Nabatieh and Arabsalim strikes w/ no deaths reported"
418442,1,,2026-03-08,,علما الشعب,علما الشعب (Alma al-Shaab),Marjayoun,Nabatieh,1,0,drone strike,farmer (occupation stated by source),preliminary,0,0,"named in update 418443: Sami Y. Ghafari, brother of the town's church priest"
418443,1,,2026-03-08,,علما الشعب,علما الشعب (Alma al-Shaab),Marjayoun,Nabatieh,1,0,drone strike,named individual (occupation: farmer per 418442),preliminary,0,0,update/detail to 418442 - same incident
418446,1,,2026-03-08,afternoon,الدوير - حي السدر,الدوير (Al-Dawir),Nabatieh,Nabatieh,6,0,airstrike,residence + car-repair hangar,preliminary,0,0,"Ayyash family (5 of 6) - SEPARATE incident from the March 6 Al-Dawir/Ramal-family massacre (417915/417945, batch 1) - different family, different date"
418472,1,,2026-03-08,,يحمر الشقيف,يحمر الشقيف (Yohmor al-Shaqif),Nabatieh,Nabatieh,,,airstrike,"chicken farm (workers, mostly Syrian nationals)",preliminary,0,1,deaths implied ('الشهداء') but no number given yet in this article; count given in update 418513 (2)
418485,1,,2026-03-08,,بريتال,بريتال (Britel),Baalbek,Baalbek-Hermel,1,1,airstrike,excavator/digger,preliminary,0,0,1 dead is a Syrian national (per source)
418500,1,,2026-03-08,,صير الغربية,صير الغربية (Sir al-Gharbiyeh),Nabatieh,Nabatieh,10,6,airstrike,residential building,preliminary,0,0,"MoPH update to 418326 chain - large drop from initial 19 estimate, flag heavily for merge review"
418504,1,,2026-03-08,,مخيم عين الحلوة - صيدا,عين الحلوة (Ain al-Hilweh camp),Sidon,South Lebanon,1,10,airstrike,unspecified,preliminary,0,0,1 dead is a Palestinian national (per source); injured: 3 Lebanese + 7 Palestinian
418506,1,,2026-03-08,,صور - حي الآثار,صور (Tyre - Al-Athar neighborhood),Tyre,South Lebanon,8,0,airstrike,unspecified,preliminary,0,1,"headline says 10, body text says 8 - internal inconsistency in the source article itself, flag for merge review, using body figure (8) as more specific"
418509,1,,2026-03-08,,تبنين,تبنين (Tibnine),Bint Jbeil,Nabatieh,2,6,airstrike,unspecified,preliminary,0,0,distinct from the March 9 Tibnine strike (418806) - different date
418513,1,,2026-03-08,,يحمر الشقيف,يحمر الشقيف (Yohmor al-Shaqif),Nabatieh,Nabatieh,2,8,airstrike,"chicken farm (Syrian nationals, incl. 3 children rescued unharmed)",preliminary,0,0,update to 418472 chain - gives the actual death count (2)
418515,1,,2026-03-08,,الغازية,الغازية (Ghazieh),Sidon,South Lebanon,2,10,airstrike,building housing a displaced family,preliminary,0,0,MoPH update/confirmation of 418372 chain
418518,1,,2026-03-08,,جويا,جويا (Joya),Tyre,South Lebanon,3,16,airstrike,town market/residential area ('ring of fire' multi-strike pattern),preliminary,0,0,"chain continues in 418583 (4) then 418675 (7, final)"
418523,1,,2026-03-09,,طير دبا,طير دبا (Tair Debba),Tyre,South Lebanon,3,15,airstrike,main road + residential areas,preliminary,0,0,"chain continues in 418583 (7) then 418675 (9, final)"
418582,1,,2026-03-09,morning,شبعا,شبعا (Shebaa),Hasbaya,Nabatieh,1,0,drone strike,municipal policeman (occupation stated by source),preliminary,0,0,
418583,1,,2026-03-09,,جويا,جويا (Joya),Tyre,South Lebanon,4,20,airstrike,town market/residential area,preliminary,0,0,"update to 418518 chain; article is a roundup, also updates Tair Debba (see next row) and mentions Deb'aal/Bint Jbeil/Al-Tiri/Qalawiyeh/Srifa/Ainata/Khirbet Selm strikes w/ no new deaths here"
418583b,1,,2026-03-09,,طير دبا,طير دبا (Tair Debba),Tyre,South Lebanon,7,18,airstrike,main road + residential areas,preliminary,0,0,same source article as 418583; update to 418523 chain - split into own row (different town)
418589,0,No new confirmed death count; follow-up body-recovery operation from a previously reported Srifa strike,,,,,,,,,,,,,,
418592,1,,2026-03-09,,كفرتبنيت,كفرتبنيت (Kfartebnit),Nabatieh,Nabatieh,3,0,airstrike,residence,preliminary,0,0,one of two strikes in this article - see next row for the second
418592b,1,,2026-03-09,,طريق بنت جبيل - عيترون,Bint Jbeil-Aytaroun road,Bint Jbeil,Nabatieh,2,0,drone strike,vehicle on road,preliminary,1,0,same source article as 418592; separate strike/location on a road between two towns - split into own row
418596,1,,2026-03-09,,شوكين,شوكين (Shawkin),Nabatieh,Nabatieh,1,1,airstrike,residence,preliminary,0,0,update/confirmation in 418804 (1 dead/8 injured - higher injury count)
418618,0,"Restates 2 medic deaths (Tair Debba, Joya) that are very likely already reflected within the town-level totals (418583/418675); does not add a new location or clearly increase either total",,,,,,,,,,,,,,"flag for merge review in case these are in fact additive, not subsets"
418669,1,,2026-03-09,daytime,الضاحية الجنوبية,الضاحية الجنوبية (Beirut southern suburb/Dahiye),Baabda,Mount Lebanon,1,12,airstrike,unspecified,preliminary,0,0,
418675,1,,2026-03-09,,طير دبا وجويا,طير دبا (Tair Debba),Tyre,South Lebanon,9,17,airstrike,main road + residential areas,final,0,0,"FINAL MoPH toll for Tair Debba (9, one body still being searched for) - supersedes 418523/418583b"
418675b,1,,2026-03-09,,جويا,جويا (Joya),Tyre,South Lebanon,7,23,airstrike,town market/residential area,final,0,0,same source article as 418675; FINAL MoPH toll for Joya - supersedes 418518/418583 - split into own row (different town)
418720,1,,2026-03-09,,طريق بيت ياحون - تبنين,Beit Yahoun-Tibnine road,Bint Jbeil,Nabatieh,1,1,drone strike,motorcycles (two),preliminary,1,0,1 dead is a Syrian national (per source)
418724,0,"General cumulative toll bulletin (MoPH), Mon dawn-Mon (Mar 9) afternoon",,,,,,,,,,,,,,
418777,1,,2026-03-09,,الطيري,الطيري (Al-Tiri),Bint Jbeil,Nabatieh,,,drone strike,unspecified,preliminary,0,1,"deaths described only as plural 'citizens', no number given; article also mentions artillery shelling on Ali al-Taher forest near Nabatieh al-Fawqa w/ no deaths"
418802,1,,2026-03-09,,النميرية,النميرية (Al-Nmeiriyeh),Nabatieh,Nabatieh,7,2,airstrike,unspecified,preliminary,0,0,"SAME DATE as the Hamdan-family Nmeiriyeh massacre (418874/418963) after the retrospective-language date correction (was recorded as Mar 10, corrected to Mar 9 - see validation audit); kept as a separate incident since this is a generic unnamed-victim MoPH-style report vs. the specifically-named Hamdan family reported hours later - genuinely uncertain whether same or different strike, flagged for user review"
418804,1,,2026-03-09,,شوكين,شوكين (Shawkin),Nabatieh,Nabatieh,1,8,airstrike,residence,preliminary,0,0,MoPH update/confirmation of 418596 - higher injury count
418805,1,,2026-03-09,,القليعة,القليعة (Qlaya),Marjayoun,Nabatieh,1,6,artillery shelling,parish priest (occupation stated by source),preliminary,0,0,
418806,1,,2026-03-09,,تبنين,تبنين (Tibnine),Bint Jbeil,Nabatieh,2,4,airstrike,unspecified,preliminary,0,0,distinct from the March 8 Tibnine strike (418509) - different date
418807,1,,2026-03-09,,بيت ليف,بيت ليف (Beit Lif),Bint Jbeil,Nabatieh,2,8,airstrike,unspecified,preliminary,0,0,
