article_id,include,exclusion_reason,event_date,event_time_if_known,location_raw,town,district,governorate,deaths_reported,injuries_reported,attack_type,target_description,preliminary_or_final,location_ambiguous,casualty_count_ambiguous,notes
423086,1,,2026-03-27,"past midnight","دوار كفرتبنيت - ارنون - النبطية",Kfartebnit-Arnoun-Nabatieh roundabout,Nabatieh,Nabatieh,2,,"strike on responder post","Islamic Health Authority point (medics, explicit)",preliminary,1,0,"event_date corrected from Mar 28 (publish date) to Mar 27 per explicit 'ليل الخميس-الجمعة' (Thu-Fri night) text - validation audit fix; this pushes it off 423091's Mar 28 date, so no longer treated as the same incident (previously merged as a likely-discrepant duplicate) - now standalone, flag for user review whether still related; article also covers Al-Dawir/Haroof/Kfarsir/Arabsalim strikes and Yohmor al-Shaqif/Arnoun shelling w/ no deaths given here"
423088,1,,2026-03-28,dawn,الحنية,الحنية (Al-Haniyeh),Tyre,South Lebanon,,,airstrike,unspecified,preliminary,0,1,"'between dead and wounded', all Syrian nationals, no number given; chain continues in 423103/423112/423276 (final: 7)"
423091,1,,2026-03-28,"past midnight",كفرتبنيت,كفرتبنيت (Kfartebnit),Nabatieh,Nabatieh,1,4,"strike on responder team","civil defense/health ambulance (medic, explicit)",preliminary,0,0,"no retrospective-language marker in this article's own text, kept at its publish date (Mar 28); 423086 (previously treated as the same incident) has been re-dated to Mar 27 per validation audit - these are now standalone incidents, possibly the same underlying event reported a day apart by different sources, flag for user review"
423093,1,,2026-03-28,,حداثا,حداثا (Hidatha),Tyre,South Lebanon,1,0,drone strike,motorcycle,preliminary,0,0,"article also covers Shamaa/Yatar/Tair Harfa/Shaqra strikes and western-sector artillery w/ no deaths given here"
423095,1,,2026-03-28,,"طريق زوطر الشرقية",Zawtar al-Sharqiya road,Nabatieh,Nabatieh,,,drone strike,"medics, Islamic Resalah Scouts (explicit)",preliminary,0,1,"plural 'martyrs', no number given"
423099,1,,2026-03-28,morning,دير الزهراني,دير الزهراني (Deir al-Zahrani),Zahrani,South Lebanon,,,airstrike,unspecified,preliminary,0,1,"plural 'martyrs', no number given; at least one identified by name in 423199 (soldier)"
423103,1,,2026-03-28,,الحنية,الحنية (Al-Haniyeh),Tyre,South Lebanon,,,airstrike,"all Syrian nationals",preliminary,0,1,"continuation of the 423088 chain, still no firm number here; article also covers Beit Siyad/Al-Mansouri strikes and Qlaile artillery w/ no deaths given here"
423112,1,,2026-03-28,dawn,الحنية,الحنية (Al-Haniyeh),Tyre,South Lebanon,5,8,airstrike,unspecified,preliminary,0,0,"quantifies the 423088/423103 chain (5 Syrian bodies recovered); further updated to 7 in 423276 (final); article also mentions Ain Qana cemetery-area drone strike and Kfarsir/Arnoun strikes w/ no deaths given here"
423127,1,,2026-03-28,,"طريق جزين - كفرحونة",Jezzine-Kfarhouneh road,Jezzine,South Lebanon,,,strike on vehicle,"car (Mercedes), incl. a woman",preliminary,0,1,"plural 'martyrs', no number given - likely the same strike detailed in 423138 (journalists killed, one of whom is a woman) - flag as probable duplicate, use 423138's fuller figure (4)"
423133,1,,2026-03-28,,"العوينات بين رميش ودبل",Al-Awainat (between Rmeish and Debel),Bint Jbeil,Nabatieh,2,0,"direct gunfire","civilian car (father + son)",preliminary,1,0,"district uncertain (Rmeish/Debel border area), verify; distinct attack_type - small-arms fire, not airstrike/artillery/drone; article also mentions Yatar/Beit Yahoun strikes and an unexploded rocket on Maaraka w/ no deaths"
423138,1,,2026-03-28,,طريق جزين,طريق جزين (Jezzine road),Jezzine,South Lebanon,4,0,strike on vehicle,"press/media vehicle (Al-Manar team)",preliminary,0,0,"named: journalists Ali Shoeib (Al-Manar) and Fatima Fatouni (Al-Mayadeen) + 2 others; likely same incident as 423127 - do not double count, this is the fuller/more specific report"
423197,1,,2026-03-28,,"طريق مدرسة الكوثر - كفرتبنيت",Kfartebnit (Kawthar school road),Nabatieh,Nabatieh,1,0,drone strike,unspecified,preliminary,1,0,"article also mentions a separate Meifadoun strike w/ no deaths given"
423199,1,,2026-03-28,,دير الزهراني,دير الزهراني (Deir al-Zahrani),Zahrani,South Lebanon,1,0,airstrike,"soldier, Lebanese Army (explicit)",preliminary,0,0,"Army eulogy naming Cpl. Mohammad Mufid Tfeili - the only quantified data point for 423099's otherwise vague 'martyrs' report, treated as contributing new information rather than pure commemoration"
423223,0,"General daily+cumulative toll bulletin (MoPH), not a single-incident report",,,,,,,,,,,,,,
423240,1,,2026-03-28,,معركة,معركة (Maaraka),Tyre,South Lebanon,1,1,airstrike,unspecified,preliminary,0,0,"article also covers Habbariyeh/Ferdaws artillery and a Khiam strike w/ no deaths given here"
423240b,1,,2026-03-28,,العيشية,العيشية (Al-Eishiyeh),Jezzine,South Lebanon,2,0,drone strike,unspecified,preliminary,0,0,"same source article as 423240; split into own row (different town)"
423270,1,,2026-03-28,,جويا,جويا (Joya),Tyre,South Lebanon,1,0,airstrike,unspecified,preliminary,0,0,"a further, distinct Joya incident this study period - different date from prior Joya strikes"
423276,1,,2026-03-28,,الحنية,الحنية (Al-Haniyeh),Tyre,South Lebanon,7,9,airstrike,unspecified,final,0,0,"FINAL MoPH toll for the 423088/423103/423112 chain (6 Syrian incl. 1 child + 1 Lebanese)"
423288,0,"Army eulogy identifying a death (Cpl. Fadl Abdullah Ayoub, Kfartebnit, 28/3) very likely already captured in 423197's Kfartebnit strike report - no new count",,,,,,,,,,,,,,
